City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Mago,RU,2022-05-31 18:27:04,53.2514,140.1822,45.16,80,100,5.17
234,Kolyvan,RU,2022-05-31 18:27:04,55.3053,82.7391,60.42,95,98,8.81
235,Evensk,RU,2022-05-31 18:27:05,61.95,159.2333,41.31,75,15,1.41
236,Husavik,IS,2022-05-31 18:27:05,66.0449,-17.3389,49.17,77,73,9.01
237,Gorontalo,ID,2022-05-31 18:27:06,0.5412,123.0595,74.64,95,6,1.83
238,Uyuni,BO,2022-05-31 18:27:06,-20.4597,-66.825,48.45,18,89,20.2
239,Contamana,PE,2022-05-31 18:27:07,-7.3333,-75.0167,87.28,66,86,4.07
240,Etaples,FR,2022-05-31 18:27:07,50.5219,1.6332,59.4,72,0,11.5
241,Adre,TD,2022-05-31 18:27:08,13.4667,22.2,89.2,10,52,7.72
242,Shitanjing,CN,2022-05-31 18:27:09,39.2342,106.3439,62.02,24,0,5.32
243,Kapit,MY,2022-05-31 18:27:09,2.0167,112.9333,74.14,98,64,0.89
244,Arlit,NE,2022-05-31 18:27:10,18.7369,7.3853,98.19,6,18,5.14
245,Ahipara,NZ,2022-05-31 18:27:10,-35.1667,173.1667,63.14,85,9,15.99
246,Gwadar,PK,2022-05-31 18:27:11,25.1216,62.3254,82.69,80,0,9.35
247,Taksimo,RU,2022-05-31 18:27:11,56.3444,114.8794,44.06,62,19,1.86
248,Marsh Harbour,BS,2022-05-31 18:27:12,26.5412,-77.0636,75.96,80,100,12.93
249,Camana,PE,2022-05-31 18:27:13,-16.6228,-72.7111,66.09,72,100,6.51
250,Sibu,MY,2022-05-31 18:27:13,2.3,111.8167,77.31,94,20,0.0
251,Tsalka,GE,2022-05-31 18:27:14,41.5946,44.0891,56.89,76,37,3.8
252,Hami,CN,2022-05-31 18:27:14,42.8,93.45,83.37,18,90,8.41
253,Varlamovo,RU,2022-05-31 18:27:15,53.1897,48.4226,59.0,70,28,2.46
254,Roma,US,2022-05-31 18:27:16,43.2128,-75.4557,87.94,49,20,14.97
255,Abu Zabad,SD,2022-05-31 18:27:16,12.35,29.25,91.83,24,30,6.42
256,Kapaa,US,2022-05-31 18:25:55,22.0752,-159.319,78.78,81,40,12.66
257,Le Port,RE,2022-05-31 18:27:17,-20.9373,55.2919,73.36,66,11,9.66
258,Ilulissat,GL,2022-05-31 18:27:17,69.2167,-51.1,35.62,75,75,11.5
259,Nioki,CD,2022-05-31 18:27:18,-2.7167,17.6833,78.46,65,91,2.1
260,Nieuwpoort,BE,2022-05-31 18:27:19,51.1244,2.7735,62.01,51,20,11.5
261,Cartagena,CO,2022-05-31 18:23:30,10.3997,-75.5144,87.42,70,40,11.5
262,Kande,TG,2022-05-31 18:27:20,9.9578,1.0447,86.11,55,96,4.72
263,Ferkessedougou,CI,2022-05-31 18:27:20,9.6,-5.2,91.09,40,77,4.76
264,Souillac,MU,2022-05-31 18:27:20,-20.5167,57.5167,75.58,57,40,17.27
265,Avera,US,2022-05-31 18:27:21,33.194,-82.5271,89.55,44,0,5.48
266,Saint-Francois,FR,2022-05-31 18:27:22,46.4154,3.9054,71.04,43,0,5.75
267,Vestmanna,FO,2022-05-31 18:27:22,62.1564,-7.1664,50.92,76,40,9.22
268,Bairiki,KI,2022-05-31 18:27:23,1.3292,172.9752,80.6,83,40,9.22
269,Batagay-Alyta,RU,2022-05-31 18:27:23,67.8006,130.4114,34.95,98,100,1.68
270,Bataipora,BR,2022-05-31 18:27:24,-22.2953,-53.2711,63.72,82,100,4.23
271,Atascadero,US,2022-05-31 18:27:25,35.4894,-120.6707,75.51,33,0,5.99
272,Cayenne,GF,2022-05-31 18:28:25,4.9333,-52.3333,78.84,1,75,4.61
273,Santa Maria,BR,2022-05-31 18:23:48,-29.6842,-53.8069,52.9,43,0,5.75
274,Monywa,MM,2022-05-31 18:28:26,22.1167,95.1333,86.58,60,50,13.11
275,Msanga,TZ,2022-05-31 18:28:26,-6.05,36.0333,67.48,69,37,7.23
276,Kilembe,UG,2022-05-31 18:28:27,0.2,30.0,61.88,85,47,4.92
277,Manono,CD,2022-05-31 18:28:27,-7.3,27.4167,79.09,46,63,7.9
278,Nikolayevsk-Na-Amure,RU,2022-05-31 18:28:28,53.1406,140.73,41.58,95,99,4.45
279,Dingle,PH,2022-05-31 18:28:28,10.9995,122.6711,76.35,91,96,1.77
280,Mataram,ID,2022-05-31 18:28:28,-8.5833,116.1167,76.01,82,100,2.71
281,Geraldton,AU,2022-05-31 18:23:52,-28.7667,114.6,46.81,81,12,9.22
282,Castro,BR,2022-05-31 18:28:29,-24.7911,-50.0119,55.53,98,100,6.67
283,Kautokeino,NO,2022-05-31 18:28:29,69.0125,23.0412,58.75,56,81,10.98
284,Ngunguru,NZ,2022-05-31 18:28:30,-35.6167,174.5,62.73,84,23,13.04
285,Oromocto,CA,2022-05-31 18:28:30,45.8351,-66.4792,64.26,37,40,11.5
286,Solnechnyy,RU,2022-05-31 18:28:31,50.7214,136.6319,48.69,99,100,2.33
